name,description,url,filename
Data Bulan Januari,Dataset ini berisi Data Sumur Berdasarkan Daftar Kelurahan dan Kecamatan di Kota Bandung,https://git.bandung.go.id/opendatabdg/databdg/raw/master/resources/29d/586/data-sumur-berdasarkan-daftar-kelurahan--kecamatan-bulan-januari.csv,bulan_januari.csv
DATA RUMAH PERLINDUNGAN ANAK (RPA) KOTA BANDUNG,"Data nama, alamat, telp dan jumlah anak yang di lindungi Rumah Perlindungan Anak (RPA) di Kota Bandung",https://git.bandung.go.id/opendatabdg/databdg/raw/master/resources/701/6c1/data-rumah-perlindungan-anak-rpa-kota-bandung.csv,rumah_perlindungan_anak_rpa_kota_bandung.csv
Data Serapan Anggaran Rumah Sakit Umum Daerah Tahun 2013,Data ini berisi kolom : * SKPD * Program * Kegiatan * Anggaran * Realisasi * Persentase_serapan * Tahun * Catatan,http://data.bandung.go.id/dataset/0ab26519-4b60-4b13-a42d-48ad57f1edee/resource/8c30208c-29ec-4ede-9095-417b8f18f87f/download/lkpjrumah-sakit-umum-daerah2013.csv,serapan_anggaran_rumah_sakit_umum_daerah_tahun_2013.csv
Data Alamat Kantor Kelurahan di Kota Bandung,Data ini berisi kolom : * Nama Kecamatan * Nama Kelurahan * Alamat Kantor Kelurahan * Kode Pos,http://data.bandung.go.id/dataset/0ad22516-d4bb-4300-88cc-ec5250afd04c/resource/d2d5fbca-7427-4f33-b12d-d0860a8c48f3/download/alamat-kantor-kelurahan.csv,alamat_kantor_kelurahan_di_kota_bandung.csv
Data Serapan Anggaran Dinas Perhubungan Tahun 2013,Data ini berisi kolom : * SKPD * Program * Kegiatan * Anggaran * Realisasi * Persentase_serapan * Tahun * Catatan,http://data.bandung.go.id/dataset/0af4e433-c113-4a17-bbda-586669350efe/resource/47612a5f-b801-4686-bdce-19fd1cb8e4d3/download/lkpjdinas-perhubungan2013.csv,serapan_anggaran_dinas_perhubungan_tahun_2013.csv
Data Penduduk Kecamatan 10 Tahun Keatas Berdasarkan Status Perkawinan di Kota Bandung,Dataset ini berisi mengenai Penduduk Kecamatan 10 Tahun Keatas Berdasarkan Status Perkawinan di Kota Bandung,https://git.bandung.go.id/opendatabdg/databdg/raw/master/resources/079/301/penduduk-kecamatan-10-tahun-keatas-berdasarkan-status-perkawinan.csv,penduduk_kecamatan_10_tahun_keatas_berdasarkan_status_perkawinan_di_kota_bandung.csv
Data Organisasi Masyarakat di Kecamatan Bandung Kulon,Dataset ini berisi mengenai daftar data organisasi masyarakat yang berada di wilayah Kecamatan Bandung Kulon Kota Bandung,http://data.bandung.go.id/dataset/0b3b0a7c-9c38-4efa-ac80-63b1648a52ee/resource/2dec8427-5174-42de-97cf-51630cf7a7da/download/daftar-organisasi-masyarakat-di-kecamatan-bandung-kulon.csv,organisasi_masyarakat_di_kecamatan_bandung_kulon.csv
Data Urban Farming Di Kecamatan Lengkong Tahun 2016,Data ini berisi kolom : * Kelurahan * Alamat * Pengelola * Jenis Tanaman Yang Ditanam,http://data.bandung.go.id/dataset/0b68130f-5eaa-46b7-990b-ea99e6c105ce/resource/dc8e4cf2-f888-4ec6-b761-4bec12263efb/download/data-urban-farming-2016.csv,urban_farming_di_kecamatan_lengkong_tahun_2016.csv
Data Rumah Sakit Kota Bandung,"Data Rumah Sakit di Kota Bandung berdasarkan Direktorat Jenderal Pelayanan Kesehatan, Kementerian Kesehatan Republik Indonesia",https://git.bandung.go.id/opendatabdg/databdg/raw/master/resources/a10/77d/data-rumah-sakit-kota-bandung.csv,rumah_sakit_kota_bandung.csv
Data RUP Penyedia Tahun 2014,Data rencana umum pengadaan Dinas Pertanian Dan Ketahanan Pangan berdasarkan tipe pengadaan pertahun,https://git.bandung.go.id/opendatabdg/databdg/raw/master/resources/752/6e6/71986-dinas-pertanian-dan-ketahanan-pangan-penyedia-2014.csv,rup_penyedia_tahun_2014.csv
Data Hotel di Kecamatan Rancasari Tahun 2017,Data ini berisi kolom : * Nama kecamatan * Nama hotel * Alamat hotel,http://data.bandung.go.id/dataset/0c32268f-ddb5-444e-b716-d4c5a148ea06/resource/f300bac1-f48b-4d8f-b96b-66beb208b445/download/data-hotel-di-kecamatan-rancasari.csv,hotel_di_kecamatan_rancasari_tahun_2017.csv
